key,name,party
cleitinho,Cleitinho,
gabriel-azevedo,Gabriel Azevedo,MDB
alexandre-kalil,Alexandre Kalil,PDT
mateus-simoes,Mateus Simões,PSD
patrus-ananias,Patrus Ananias,PT
marcelo-aro,Marcelo Aro,PP
ben-mendes,Ben Mendes,MISSÃO
flavio-roscoe,Flávio Roscoe,PL
