key,name,party
manuela-d-avila,Manuela d'Ávila,PSOL
marcel-van-hattem,Marcel van Hattem,NOVO
ubiratan-sanderson,Ubiratan Sanderson,PL
germano-rigotto,Germano Rigotto,MDB
paulo-pimenta,Paulo Pimenta,PT
frederico-antunes,Frederico Antunes,PSD
eduardo-leite,Eduardo Leite,PSD
