key,name,party
luciano-zucco,Luciano Zucco,PL
juliana-brizola,Juliana Brizola,PDT
gabriel-souza,Gabriel Souza,MDB
marcelo-maranata,Marcelo Maranata,PSDB
edegar-pretto,Edegar Pretto,PT
covatti-filho,Covatti Filho,PP
evandro-augusto,Evandro Augusto,MISSÃO
