key,name,party
filipe-barros,Filipe Barros,PL
alexandre-curi,Alexandre Curi,
cristina-graeml,Cristina Graeml,UNIÃO
gleisi-hoffmann,Gleisi Hoffmann,PT
deltan-dallagnol,Deltan Dallagnol,NOVO
alvaro-dias,Álvaro Dias,MDB
dr-rosinha,Dr. Rosinha,PT
karen-guerreiro,Karen Guerreiro,MISSÃO
joaquim-do-mlb,Joaquim do MLB,UP
marcelo-marcelino,Marcelo Marcelino,PCO
ratinho-junior,Ratinho Junior,PSD
