key,name,party
marilia-campos,Marília Campos,PT
domingos-savio,Domingos Savio,PL
carlos-viana,Carlos Viana,PSD
marcelo-aro,Marcelo Aro,PP
aurea-carolina,Áurea Carolina,PSOL
aecio-neves,Aécio Neves,PSDB
euclydes-pettersen,Euclydes Pettersen,
alexandre-silveira,Alexandre Silveira,PSD
marco-antonio-superman,Marco Antônio Superman,NOVO
ana-luiza-do-mlb,Ana Luiza do MLB,UP
