key,name,party
sergio-moro,Sergio Moro,PL
requiao-filho,Requião Filho,PDT
luiz-franca,Luiz França,MISSÃO
sandro-alex,Sandro Alex,PSD
rafael-greca,Rafael Greca,MDB
tony-garcia,Tony Garcia,DC
tayna-miessa,Tayná Miessa,UP
samuel-de-mattos,Samuel de Mattos,PSTU
adriano-teixeira,Adriano Teixeira,PCO
alexandre-salomao,Alexandre Salomão,MOBILIZA
guto-silva,Guto Silva,PSD
alexandre-curi,Alexandre Curi,
fernando-giacobo,Fernando Giacobo,PSD
alvaro-dias,Álvaro Dias,MDB
